2020-09-14,50780 ,40240 
2020-09-15,50780 ,40287 
2020-09-16,50780 ,40307 
2020-09-17,50780 ,40307 
2020-09-18,50780 ,40347 
2020-09-21,50780 ,40464 
2020-09-22,50780 ,40425 
2020-09-23,50780 ,41019 
2020-09-24,53120 ,40988 
2020-09-25,53120 ,40978 
2020-09-28,53120 ,39872 
2020-09-29,53120 ,39858 
2020-10-05,53120 ,42004 
2020-10-06,53040 ,40978 
2020-10-07,53040 ,40903 
2020-10-08,52840 ,40840 
2020-10-12,52740 ,40757 
2020-10-13,52740 ,40717 
2020-10-14,52740 ,40652 
2020-10-15,52740 ,40589 
2020-10-16,52767 ,40531 
2020-10-19,53200 ,41186 
2020-10-20,53371 ,41229 
2020-10-21,54520 ,41234 
2020-10-22,54520 ,39950 
2020-10-23,54780 ,39898 
2020-10-26,54660 ,38025 
2020-10-27,54660 ,37938 
2020-10-28,55060 ,39183 
2020-10-29,55060 ,40480 
2020-10-30,55060 ,40607 
2020-11-02,55060 ,40673 
2020-11-03,55060 ,40727 
2020-11-04,55060 ,40790 
2020-11-05,55060 ,40803 
2020-11-06,55260 ,40820 
2020-11-09,55380 ,40913 
2020-11-10,55780 ,40940 
2020-11-11,55780 ,40964 
2020-11-12,55780 ,40955 
2020-11-13,55780 ,40939 
2020-11-16,55780 ,40907 
2020-11-17,55780 ,40900 
2020-11-18,55780 ,40897 
2020-11-19,55780 ,40883 
2020-11-20,55780 ,40873 
2020-11-23,55780 ,40887 
2020-11-24,55780 ,40887 
2020-11-25,55780 ,40887 
2020-11-26,55780 ,40887 
2020-11-27,55780 ,40887 
2020-11-30,55780 ,40897 
2020-12-01,56180 ,40890 
2020-12-02,56180 ,40867 
2020-12-03,56180 ,40840 
2020-12-07,56180 ,40907 
2020-12-08,56180 ,40907 
2020-12-09,56180 ,40920 
2020-12-10,56180 ,40920 
2020-12-11,56180 ,40920 
2020-12-14,56240 ,40898 
2020-12-15,56240 ,40865 
2020-12-16,56240 ,40834 
2020-12-17,56240 ,40803 
2020-12-18,56240 ,40777 
2020-12-21,56240 ,40800 
2020-12-22,56240 ,40813 
2020-12-23,56240 ,40817 
2020-12-24,56240 ,40817 
2020-12-28,56240 ,40853 
2020-12-29,56240 ,40880 
2020-12-30,56240 ,40883 
2020-12-31,56240 ,40883 
